epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,2228.57,1.25614,1.02428,1.28911,0.81861,0.61044,0.72162,0.5067,1.3687,0.97607,1.35797,0.00878014,0.00878014,0.00878014
139,2244.71,1.24987,1.04076,1.28624,0.82693,0.58752,0.71459,0.49466,1.36986,0.95336,1.34943,0.00876305,0.00876305,0.00876305
140,2260.82,1.26269,1.03467,1.28286,0.82839,0.58953,0.72008,0.50163,1.37053,0.97265,1.34893,0.00874586,0.00874586,0.00874586
141,2276.87,1.25839,1.017,1.27119,0.83454,0.55881,0.69665,0.48106,1.36134,0.96814,1.34816,0.00872857,0.00872857,0.00872857
142,2292.9,1.24359,1.02042,1.26717,0.80978,0.59036,0.71499,0.49362,1.37811,0.98221,1.36268,0.00871117,0.00871117,0.00871117
143,2308.89,1.26052,1.02762,1.28158,0.80359,0.52206,0.66883,0.47059,1.35646,0.96536,1.34311,0.00869368,0.00869368,0.00869368
144,2324.89,1.24781,1.03818,1.27436,0.81647,0.58791,0.71883,0.49454,1.37635,0.96048,1.36913,0.00867609,0.00867609,0.00867609
145,2340.87,1.24128,1.00307,1.27179,0.83731,0.58835,0.71438,0.49758,1.3487,0.96268,1.35137,0.00865839,0.00865839,0.00865839
146,2357.19,1.2451,1.02494,1.26489,0.8467,0.60751,0.73209,0.51186,1.34555,0.97896,1.35524,0.0086406,0.0086406,0.0086406
147,2373.55,1.22044,0.96324,1.25548,0.82353,0.58514,0.71669,0.50367,1.34374,0.95766,1.34214,0.00862271,0.00862271,0.00862271
148,2389.99,1.22802,0.97928,1.25759,0.8522,0.58214,0.72947,0.50695,1.37366,0.94614,1.35367,0.00860473,0.00860473,0.00860473
149,2406.19,1.21223,0.99373,1.26365,0.80528,0.62781,0.72948,0.49895,1.38237,0.95951,1.36265,0.00858664,0.00858664,0.00858664
150,2422.33,1.23252,1.00923,1.2695,0.85085,0.58576,0.70979,0.48202,1.35469,0.97271,1.35787,0.00856846,0.00856846,0.00856846
151,2438.3,1.22961,0.98307,1.26012,0.81789,0.60844,0.71119,0.49682,1.34342,0.94658,1.32595,0.00855018,0.00855018,0.00855018
152,2454.27,1.24597,0.99596,1.26351,0.80191,0.60159,0.71989,0.51141,1.34246,0.96258,1.33562,0.0085318,0.0085318,0.0085318
153,2470.33,1.2392,1.00353,1.27635,0.81534,0.62238,0.73798,0.49494,1.36362,0.96013,1.34561,0.00851333,0.00851333,0.00851333
154,2486.25,1.21623,0.99326,1.27539,0.82476,0.57916,0.71377,0.48591,1.36485,0.97541,1.36292,0.00849477,0.00849477,0.00849477
155,2502.11,1.2368,0.98914,1.27999,0.83873,0.58119,0.72074,0.49934,1.38506,0.95948,1.36767,0.00847611,0.00847611,0.00847611
156,2518.03,1.23884,0.98937,1.2675,0.8248,0.56806,0.70262,0.49346,1.32659,0.9704,1.32051,0.00845736,0.00845736,0.00845736
157,2533.87,1.22233,0.98641,1.26559,0.84087,0.61177,0.72993,0.50866,1.3577,0.96613,1.35271,0.00843851,0.00843851,0.00843851
158,2549.67,1.22322,0.97387,1.26601,0.8234,0.58146,0.71591,0.49694,1.36953,0.96043,1.36181,0.00841957,0.00841957,0.00841957
159,2565.61,1.22615,0.99668,1.26447,0.84126,0.60795,0.73934,0.51519,1.35965,0.96474,1.34864,0.00840054,0.00840054,0.00840054
160,2581.52,1.19489,0.96253,1.24179,0.83724,0.63494,0.7412,0.50473,1.36953,0.95283,1.33916,0.00838141,0.00838141,0.00838141
161,2597.76,1.21451,0.9751,1.2531,0.82446,0.59803,0.7222,0.50451,1.35792,0.94238,1.34197,0.0083622,0.0083622,0.0083622
162,2614.07,1.21583,0.98665,1.25406,0.81295,0.61156,0.71981,0.49552,1.371,0.94618,1.35049,0.00834289,0.00834289,0.00834289
163,2630.37,1.23451,0.98899,1.2684,0.83683,0.55674,0.70215,0.48527,1.35161,0.9224,1.34449,0.00832349,0.00832349,0.00832349
164,2646.43,1.23497,0.97349,1.27163,0.84578,0.6046,0.73079,0.5023,1.35055,0.94194,1.32878,0.00830401,0.00830401,0.00830401
165,2662.27,1.23194,0.99201,1.25869,0.84505,0.59457,0.72175,0.49085,1.34623,0.9492,1.32758,0.00828443,0.00828443,0.00828443
166,2678.27,1.22374,1.01432,1.26643,0.82475,0.60628,0.72205,0.50377,1.36962,0.93682,1.33964,0.00826477,0.00826477,0.00826477
167,2694.29,1.2239,0.98773,1.26073,0.84898,0.596,0.72561,0.49948,1.35744,0.92837,1.3305,0.00824502,0.00824502,0.00824502
168,2710.19,1.20644,0.98386,1.24571,0.86829,0.55725,0.71315,0.50351,1.34113,0.90675,1.31982,0.00822518,0.00822518,0.00822518
169,2726.18,1.21675,0.98174,1.24524,0.83564,0.66213,0.75396,0.51553,1.38466,0.92559,1.36087,0.00820525,0.00820525,0.00820525
170,2742.1,1.21873,0.96235,1.25462,0.83462,0.66018,0.75995,0.51683,1.36934,0.90967,1.34229,0.00818524,0.00818524,0.00818524
171,2758.02,1.20045,0.94133,1.2442,0.84593,0.64442,0.74476,0.50267,1.36949,0.93023,1.35139,0.00816514,0.00816514,0.00816514
172,2773.99,1.21644,0.93469,1.24438,0.82812,0.63535,0.7402,0.50696,1.36541,0.91212,1.35062,0.00814495,0.00814495,0.00814495
173,2789.95,1.20091,0.95904,1.24518,0.82224,0.62431,0.74336,0.51036,1.37274,0.9217,1.35085,0.00812468,0.00812468,0.00812468
174,2805.86,1.19838,0.94782,1.2423,0.82595,0.64854,0.74658,0.51093,1.37676,0.91647,1.34655,0.00810433,0.00810433,0.00810433
175,2821.67,1.20603,0.94627,1.24729,0.85241,0.61089,0.74426,0.4988,1.38256,0.92965,1.36286,0.00808389,0.00808389,0.00808389
176,2837.94,1.20115,0.96015,1.24427,0.85304,0.64548,0.74516,0.50631,1.3718,0.91294,1.34799,0.00806337,0.00806337,0.00806337
177,2854.21,1.20642,0.94822,1.25626,0.79177,0.6672,0.73873,0.51117,1.36748,0.94573,1.356,0.00804277,0.00804277,0.00804277
178,2870.46,1.20465,0.95697,1.25785,0.84229,0.66319,0.76509,0.51955,1.37884,0.91022,1.37213,0.00802208,0.00802208,0.00802208
